,Timestamp,PSM_xyz,PSM_roll_pitchGripper_angle_radians,Puzzle_position_xyz,Gripper_angle_radians,PSM_roll_pitch,Input_L
60,1652781653.1950772,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f91a7c0>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '104.60684967041016', 'y': '91.31610107421875', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
61,1652781653.2187705,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f91a340>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '106.73820495605469', 'y': '106.5986328125', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
62,1652781653.2373376,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f91a8c0>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '106.73820495605469', 'y': '118.32705688476562', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
63,1652781653.2596338,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f91a940>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '103.54116821289062', 'y': '137.87445068359375', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
64,1652781653.2808046,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f91aac0>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '100.69934844970703', 'y': '145.33807373046875', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
65,1652781653.3000395,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f91a9c0>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '99.98889923095703', 'y': '147.470458984375', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
66,1652781653.3245342,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f91a640>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '97.50231170654297', 'y': '153.15704345703125', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
67,1652781653.3422697,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f91aa40>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '95.7261962890625', 'y': '157.77725219726562', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
68,1652781653.3642719,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f91adc0>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '94.66050720214844', 'y': '160.97592163085938', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
69,1652781653.383864,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f91a540>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '93.95004272460938', 'y': '163.81918334960938', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
